,Date,Time,Location,Sub-location,Lat,Long
1173,2020-09-04,1310h - 1410h,The Spread (15 Kent Ridge Drive),,1.29252222913047,103.774133418277
1174,2020-09-04,1140h - 1245h,Imm (2 Jurong East Street 21),,1.3346666186285,103.74695659203
1175,2020-09-04,2050h - 0110h,Tiong Bahru Plaza (302 Tiong Bahru Road),Golden Village Hall 5,1.28646345355064,103.826935079694
1176,2020-09-04,1840h - 1925h,Sim Lim Square (1 Rochor Canal Road),,1.30290658774258,103.853031869482
1177,2020-09-04,2040h - 2130h,Queensway Shopping Centre (1 Queensway),Anytime Fitness,1.28761792586115,103.803391140455
1178,2020-09-04,1300h - 1335h,Uob Branch - Hougang Mrt Branch (80 Hougang Central),,1.37056990400157,103.892269540383
1179,2020-09-04,1725h - 1820h,The Clementi Mall (3155 Commonwealth Avenue West),,1.31555354277949,103.764596439304
1180,2020-09-03,1300h - 1445h,Junction 8 (9 Bishan Place),Ambush,1.35042215656701,103.848826189269
1181,2020-09-03,2040h - 2125h,Plaza Singapura (68 Orchard Road),Secret Recipe,1.30082071769235,103.845067272666
1182,2020-09-03,1900h - 2030h,Plaza Singapura (68 Orchard Road),Tim Ho Wan,1.30082071769235,103.845067272666
1183,2020-09-03,2030h - 2130h,Queensway Shopping Centre (1 Queensway),Anytime Fitness,1.28761792586115,103.803391140455
1184,2020-09-02,1215h - 1310h,The Spread (15 Kent Ridge Drive),,1.29252222913047,103.774133418277
1185,2020-09-01,1210h - 1430h,Ikea Tampines (60 Tampines North Drive 2),,1.37412166439983,103.932414737025
1186,2020-09-01,1920h - 2110h,Hougang Mall (90 Hougang Avenue 10),Pizza Hut,1.37253315637342,103.893883460466
1187,2020-09-01,1935h - 2100h,Liat Towers (541 Orchard Road),Shake Shack,1.30508722710852,103.830722581168
1188,2020-09-01,1855h - 2315h,Vivocity (1 Harbourfront Walk),Golden Village Hall 4,1.26431382492761,103.82207343835
1189,2020-08-31,1500h - 1555h,Woodlands Civic Centre (900 South Woodlands Drive),Fairprice,1.43505698925938,103.787004308703
1190,2020-08-31,1405h - 1440h,Jem (50 Jurong Gateway Road),Apgujeong Hair Studio,1.33332819303974,103.743359442234
1191,2020-08-30,0655h - 0735h,Geylang Serai Malay Market And Food Centre (1 Geylang Serai),,1.31649443408571,103.896941669743
1192,2020-08-30,1840h - 2130h,Bugis Junction (200 Victoria Street),"Xiao Long Kan Hotpot, Starbucks",1.29911287475873,103.855411173758
1193,2020-08-30,1730h - 1830h,Chinatown Complex Food Centre (335 Smith Street),,1.2822749605271,103.843238518071
1194,2020-08-29,1600h - 1645h,Mei Heong Yuen Dessert (63-67 Temple Street),,1.35432115767772,103.878235759236
1195,2020-08-29,1900h - 2000h,Suntec City (3 Temasek Boulevard),White Restaurant,1.29485990186642,103.860333693777
1196,2020-08-29,0910h - 0940h,Yuhua Market & Hawker Centre (347 Jurong East Avenue 1),,1.34541698312776,103.731703838354
1197,2020-08-29,1450h - 1550h,Zhang Liang Mala Tang (3 Pickering Street),,1.28436800095842,103.847363778038
1198,2020-08-28,0900h - 1000h,Yuan Yuan Café (26 New Upper Changi Road),,1.3233383625591,103.934207271148
1199,2020-08-28,1530h - 1625h,Giant Express Edgefield Plains (671 Edgefield Plains),,1.40566048045603,103.911991277154
1200,2020-08-28,1300h - 1400h,Nanyang Technological University North Spine Plaza (76 Nanyang Drive),North Spine Food Court,1.34713048855579,103.680033789538
1201,2020-08-27,1835h - 1910h,Bras Basah Complex (231 Bain Street),,1.29681525928856,103.853619482206
1202,2020-08-27,1300h - 1350h,Vivocity (1 Harbourfront Walk),Kopitiam,1.26431382492761,103.82207343835
1203,2020-08-27,0900h - 1140h,Fairprice Hub (1 Joo Koon Circle),Warehouse Club,1.3271618610269,103.678279283036
1204,2020-08-27,0830h - 0930h,Yuhua Market & Hawker Centre (347 Jurong East Avenue 1),,1.34541698312776,103.731703838354
1205,2020-08-27,1350h - 1430h,Vision Exchange (2 Venture Drive),Anjana Kitchen,1.33015172071471,103.744574631833
1206,2020-08-27,1805h - 1900h,The Pinnacle @ Duxton (1 Cantonment Road),Essen At The Pinnacle,1.27549895431693,103.841398475091
1207,2020-08-26,1100h - 1200h,Wheelock Place (501 Orchard Road),Privé,1.30467628730252,103.830642027577
1208,2020-08-26,1400h - 1500h,The Seletar Mall (33 Sengkang West Avenue),,1.39131549124709,103.876213231014
1209,2020-08-26,1840h - 2005h,Jewel Changi Airport (78 Airport Boulevard),White Restaurant,1.36015720495893,103.990090538078
1210,2020-08-26,2300h - 0000h,Changi Airport Terminal 3 (65 Airport Boulevard),Mr Teh Tarik Express,1.35437074082484,103.985169645053
1211,2020-08-26,1305h - 1430h,Nex (23 Serangoon Central),Perky Lash,1.35064579494756,103.872590477492
1212,2020-08-26,1730h – 1800h,Wheelock Place (501 Orchard Road),Privé,1.30467628730252,103.830642027577
1213,2020-08-26,2145h - 2330h,Changi Airport Terminal 1 (80 Changi Boulevard) Transit Area,Heavenly Wang,1.36129123176598,103.99060554697
1214,2020-08-26,1900h - 2030h,Raimah Eating House (56 Jalan Kembangan),,1.32240388299904,103.9138784869
1215,2020-08-26,1425h - 1530h,Nanyang Technological University North Spine Plaza (50 Nanyang Avenue),Paik’S Bibim,1.34458794516981,103.682758049858
1216,2020-08-26,1445h - 1545h,27A Coffee (9 Lorong 27A Geylang),Kl Traditional Chilli Ban Mee,1.3143694479873,103.88434578985
1217,2020-08-25,1430h - 1530h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1218,2020-08-25,1930h - 2135h,E!Hub @ Downtown East (1 Pasir Ris Close),Swensen’S,1.37595122154029,103.955598940037
1219,2020-08-25,1935h - 2100h,Paya Lebar Square (60 Paya Lebar Road),Ramen Keisuke Tonkotsu King,1.31881486980278,103.892580778242
1220,2020-08-25,1230h - 1400h,Waterway Point (83 Punggol Central),,1.40638890775119,103.902150850842
1221,2020-08-25,1435h - 1930h,Nex (23 Serangoon Central),Din Tai Fung,1.35064579494756,103.872590477492
1222,2020-08-25,1140h - 1600h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1223,2020-08-25,1235h - 1330h,Nanyang Technological University School Of Biological Sciences (60 Nanyang Drive),Quad Cafe,1.34435864607028,103.679267275915
1224,2020-08-25,1800h - 1955h,Raffles Holland V Mall (118 Holland Avenue),Hoshino Coffee,1.31056351475336,103.796107173318
1225,2020-08-25,0905h - 1020h,Geylang Serai Malay Market And Food Centre (1 Geylang Serai),,1.31649443408571,103.896941669743
1226,2020-08-24,1940h - 2140h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1227,2020-08-24,1600h - 1800h,Gardens By The Bay (18 Marina Gardens Drive),Flower Dome,1.28175826056524,103.861585715893
1228,2020-08-24,1825h - 1930h,Vivocity (1 Harbourfront Walk),Marché Mövenpick,1.26431382492761,103.82207343835
1229,2020-08-24,1600h - 1640h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1230,2020-08-24,1820h - 2020h,Amk Hub (53 Ang Mo Kio Avenue 3),Eighteen Chefs,1.36923627630004,103.848722224473
1231,2020-08-24,1700h - 1730h,White Sands (1 Pasir Ris Central Street 3),Mcdonald’S,1.37228761596577,103.949733905672
1232,2020-08-24,1545h - 1705h,Vivocity (1 Harbourfront Walk),Hans Im Glück,1.26431382492761,103.82207343835
1233,2020-08-24,0930h - 1030h,Ica Building (10 Kallang Road),,1.30663469653195,103.862772815008
1234,2020-08-24,1800h - 1830h,Gardens By The Bay (18 Marina Gardens Drive),Mcdonald’S,1.28175826056524,103.861585715893
1235,2020-08-24,2010h - 2210h,Jewel Changi Airport (78 Airport Boulevard),Tiger Street Lab,1.36015720495893,103.990090538078
1236,2020-08-23,1725h - 1825h,Compass One (1 Sengkang Square),Ya Kun Family Cafe,1.39205314156706,103.89507054384
1237,2020-08-23,1015h - 1100h,Old Airport Road Food Centre & Shopping Mall (51 Old Airport Road),,1.3082518471287,103.88580870609
1238,2020-08-23,1430h - 1530h,Lucky Plaza (304 Orchard Road),"Kabayan Remittance Pte Ltd, Metrobox Services Pte Ltd",1.30450604646634,103.833962339817
1239,2020-08-23,0850h - 0930h,Lucky Plaza (304 Orchard Road),,1.30450604646634,103.833962339817
1240,2020-08-23,1055h - 1140h,Eco-Shop@Bedok (206 Bedok North Street 1),,1.33143623119911,103.948260304303
1241,2020-08-23,1635h - 1710h,Fly Salon (6 Eunos Crescent),,1.32107318214851,103.904252036916
1242,2020-08-23,1725h - 1825h,Wisma Atria (435 Orchard Road),Tag Heuer,1.30370452023703,103.833200970183
1243,2020-08-23,1515h - 1550h,Hanshan Money Express (1 Park Road),,1.3708718379447,103.978312286363
1244,2020-08-23,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1245,2020-08-22,2240h - 0045h,Don Dae Bak Restaurant (35 Kreta Ayer Road),,1.28074267642592,103.842112583579
1246,2020-08-22,1430h - 1530h,Westgate (3 Gateway Drive),Bank Of China,1.33402529563803,103.74258601168
1247,2020-08-22,1500h - 1545h,Our Tampines Hub (1 Tampines Walk),,1.35270292681435,103.940200303358
1248,2020-08-22,1600h - 1710h,Wisma Atria (435 Orchard Road),Tag Heuer,1.30370452023703,103.833200970183
1249,2020-08-22,1815h - 1955h,Jurong Point (1 Jurong West Central 2),Fairprice Xtra,1.3394520043632,103.706685012926
1250,2020-08-22,1840h - 1940h,Wisma Atria (435 Orchard Road),Food Republic @ Wisma Atria,1.30370452023703,103.833200970183
1251,2020-08-22,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1252,2020-08-22,1400h - 1450h,Paragon (290 Orchard Road),"Muji, Toys“R”Us, Istudio",1.30372322368856,103.83524031199
1253,2020-08-22,1300h - 1500h,The Heeren (260 Orchard Road),Robinsons The Heeren,1.30265160142482,103.837367213158
1254,2020-08-22,1415h - 1445h,Far East Plaza (14 Scotts Road),Abc Restaurant Pte Ltd,1.30717698071189,103.833792932243
1255,2020-08-22,1115h - 1445h,Ngee Ann City (391A Orchard Road),"Papilla Haircare, Best Denki",1.30242417189411,103.834676124723
1256,2020-08-22,1720h - 1830h,Ngee Ann City (391A Orchard Road),Takashimaya Department Store,1.30242417189411,103.834676124723
1257,2020-08-22,1920h - 2200h,Vivocity (1 Harbourfront Walk),"Food Republic @ Vivocity, Fairprice Xtra",1.26431382492761,103.82207343835
1258,2020-08-22,1315h - 1405h,Far East Shopping Centre (545 Orchard Road),,1.30550610748913,103.829984822014
1259,2020-08-21,1250h - 1400h,Vivocity (1 Harbourfront Walk),Food Republic @ Vivocity,1.26431382492761,103.82207343835
1260,2020-08-21,1650h - 1750h,The Centrepoint (176 Orchard Road),,1.30151446722773,103.840054426935
1261,2020-08-21,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1262,2020-08-21,1800h - 2000h,Westgate (3 Gateway Drive),Beauty In The Pot,1.33402529563803,103.74258601168
1263,2020-08-21,1410h - 1800h,Universal Studios Singapore (8 Sentosa Gateway),,1.25498909397858,103.82028484165
1264,2020-08-21,1410h - 1505h,Geylang Serai Malay Market And Food Centre (1 Geylang Serai),,1.31649443408571,103.896941669743
1265,2020-08-21,1500h - 1600h,Joo Chiat Complex (2 Joo Chiat Road),Fairprice,1.31553964446015,103.898764895693
1266,2020-08-21,2010h - 2145h,Orchard Central (181 Orchard Road),Da Long Yi Hot Pot,1.30083890839245,103.839434733899
1267,2020-08-20,1215h - 1300h,Baby Expo Warehouse Sales (1 Jalan Wangi),,1.3299309852802,103.874182431008
1268,2020-08-20,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1269,2020-08-19,0745h - 0905,Elias Mall (623 Elias Road),"623 F&B Pte Ltd, Sheng Siong Supermarket",1.37790533095468,103.94233582068
1270,2020-08-19,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1271,2020-08-19,1200h - 1300h,Koufu (2 Ang Mo Kio Drive),,1.37724447883816,103.856431219196
1272,2020-08-18,1630h - 1720h,Bugis Junction (200 Victoria Street),Swensen’S,1.29911287475873,103.855411173758
1273,2020-08-18,1325h - 1400h,Joo Chiat Complex (1 Joo Chiat Road),,1.31587653400999,103.898378099316
1274,2020-08-18,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1275,2020-08-18,1200h - 1235h,Geylang Serai Malay Market And Food Centre (1 Geylang Serai),,1.31649443408571,103.896941669743
1276,2020-08-17,1645h - 2300h,Georges By The Bay (500 New Punggol Road),,1.42088392750942,103.912199519838
1277,2020-08-17,1100h - 1315h,Singapore Changi Airport (Airport Boulevard),Pappamia Singapore,1.36129123176598,103.99060554697
1278,2020-08-17,1800h - 1840h,Teng Sheng (2 Ang Mo Kio Drive),,1.37724447883816,103.856431219196
1279,2020-08-16,1900h - 2100h,Kuan Kuan Gan Guo (38 Mosque Street),,1.28380955463811,103.845046885533
1280,2020-08-16,1700h - 1800h,Trivex (8 Burn Road),Zero1 Pte Ltd,1.33578618642652,103.885510272428
1281,2020-08-16,1730h - 1800h,West Mall (1 Bukit Batok Central Link),Cold Storage,1.35009714832628,103.74921385957
1282,2020-08-16,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1283,2020-08-15,1400h - 1700h,Serangoon Gardens Country Club (22 Kensington Park Road),,1.36573432810949,103.866873575185
1284,2020-08-15,1715h - 1800h,Harry’S Tai Seng (18 Tai Seng Street),,1.33631557522577,103.888825620348
1285,2020-08-15,1730h - 1830h,Mcdonald’S Bukit Batok (632 Bukit Batok Central),,1.34941218319846,103.750538659696
1286,2020-08-15,1200h - 1300h,Block 4A Jalan Batu Hawker Centre (4A Jalan Batu),,1.30236034827101,103.883909473726
1287,2020-08-15,1100h - 1130h,All India Supermart Pte Ltd (41 Norris Road),,1.3080800611605,103.854266054535
1288,2020-08-14,1540h - 1715h,The Countryside Café (71 Dunlop Street),,1.30499448299881,103.853333756656
1289,2020-08-14,1435h - 1540h,Arthesdam Jewellery Pte Ltd (95 Serangoon Road),,1.30699755625593,103.851915718992
1290,2020-08-13,1100h - 1220h,Jurong West 505 Market & Food Centre (505 Jurong West Street 52),,1.34965729130746,103.718443677825
1291,2020-08-12,2000h - 2030h,Hillion Mall (17 Petir Road),Fairprice Finest,1.37843100827586,103.762842789877
1292,2020-08-12,1655h - 1735h,Jem (50 Jurong Gateway Road),,1.33332819303974,103.743359442234
1293,2020-08-12,1400h - 1430h,Hillion Mall (17 Petir Road),Fairprice Finest,1.37843100827586,103.762842789877
1294,2020-08-11,1000h - 1100h,Yuhua Market & Hawker Centre (347 Jurong East Avenue 1),,1.34541698312776,103.731703838354
1295,2020-08-09,2200h - 0100h,888 Plaza (888 Woodlands Drive 50),Wan Shun Foodcourt,1.43712301500434,103.795314383823
1296,2020-08-08,0900h - 1000h,Bukit Timah Market & Food Centre (51 Upper Bukit Timah Road),,1.33945242854685,103.776007306701
1297,2020-08-08,1600h - 1645h,Bukit Panjang Plaza (1 Jelebu Road),Fairprice Finest,1.37989494369864,103.764459887796
1298,2020-08-08,2020h - 2130h,Guoco Tower (7 Wallich Street),Sbcd Korean Tofu House,1.27672492702287,103.845155395387
1299,2020-08-08,1300h - 1530h,111 Somerset (111 Somerset Road),"Family First Chiropractic Clinic, Hvala, Fairprice Finest",1.30020625685959,103.837317132796
1300,2020-08-07,1515h - 1615h,Kallang Wave Mall (1 Stadium Place),,1.30307515150401,103.873149707591
1301,2020-08-07,1730h - 1930h,Bugis Junction (200 Victoria Street), Seoul Garden,1.29911287475873,103.855411173758
1302,2020-08-07,2230h - 0030h,Newton Food Centre (500 Clemenceau Avenue North),,1.31189240495009,103.839562766706
1303,2020-08-07,1800h - 2000h,Northpoint City (930 Yishun Avenue 2),,1.42924414326245,103.836107231373
1304,2020-08-06,1830h - 2040h,Bukit Panjang Plaza (1 Jelebu Road),,1.37989494369864,103.764459887796
1305,2020-08-04,2015h - 2100h,Bukit Panjang Plaza (1 Jelebu Road),,1.37989494369864,103.764459887796
1306,2020-08-04,0900h - 1030h,Bukit Batok Activesg Gym (2 Bukit Batok Street 22),,1.34429570711298,103.748152915149
1307,2020-08-04,1300h - 1700h,Warren Golf & Country Club (81 Choa Chu Kang Way),,1.38415972868742,103.737148437918
1308,2020-08-03,1430h - 1500h,Sheng Siong Supermarket (61 Teban Gardens Road),,1.3223749703177,103.738412755847
1309,2020-08-03,1800h - 1830h,Food Paradise (21 Bukit Batok Central),,1.35013696992244,103.747511422417
1310,2020-08-02,1400h - 1530h,Tang Tea House (414 Jurong West Street 42),,1.35281998847227,103.726034867574
1311,2020-08-02,2140h - 2210h,Sheng Siong Supermarket (200 Woodlands Industrial Park E7),,1.45074973335289,103.796846514064
1312,2020-07-31,1150h - 1245h,West Mall (1 Bukit Batok Central Link),,1.35009714832628,103.74921385957
1313,2020-07-31,1620h - 1720h,Evolution Hub (492 Jurong West Street 41),,1.35008503080761,103.724757267597
1314,2020-07-31,1945h - 2035h,West Mall (1 Bukit Batok Central Link),,1.35009714832628,103.74921385957
1315,2020-07-31,1900h - 2100h,Holy Tree Sri Balasubramaniar Temple (10 Yishun Industrial Park A),,1.44179411772765,103.831763608963
1316,2020-07-30,1940h - 2025h,Fairprice Hub (1 Joo Koon Circle),Decathlon,1.3271618610269,103.678279283036
1317,2020-07-30,1820h - 1920h,"The Heart, Marina One Show Gallery (5 Straits View)",Standing Sushi Bar,1.27737235072298,103.852844801266
1318,2020-07-29,1900h - 2040h,Wisma Atria (435 Orchard Road),Omakase Burger,1.30370452023703,103.833200970183
1319,2020-07-28,1200h - 1315h,Gek Poh Shopping Centre (762 Jurong West Street 75),,1.34874357136408,103.697732091001
1320,2020-07-28,1115h - 1215h,Ikea Alexandra (317 Alexandra Road),,1.28797431886603,103.805808771913
1321,2020-07-28,1200h - 1300h,Ng Ah Sio Bak Kut Teh (208 Rangoon Road),,1.317659564035,103.852923980841
1322,2020-07-27,1335h - 1435h,Bukit Panjang Integrated Transport Hub (15 Petir Road),Mr Teh Tarik Deli,1.37843100827586,103.762842789877
1323,2020-07-26,1250h - 1540h,Bugis Junction (200 Victoria Street),"Adidas, Kfc",1.29911287475873,103.855411173758
1324,2020-07-26,1430h - 1530h,Sunshine Place (475 Choa Chu Kang Avenue 3),Giant,1.37805614752086,103.738931794069
1325,2020-07-25,1800h - 2000h,Ct Hub (2 Kallang Avenue),Botanict,1.31215967710055,103.86294146611
1326,2020-07-25,1255h - 1430h,Myck (478 Tampines Street 44),,1.36131894620829,103.953125856604
1327,2020-07-25,1600h - 1735h,Myck (478 Tampines Street 44),,1.36131894620829,103.953125856604
1328,2020-07-25,1335h - 1430h,Bukit Panjang Integrated Transport Hub (15 Petir Road),Mr Teh Tarik Deli,1.37843100827586,103.762842789877
1329,2020-07-25,1230h - 1400h,Ananas Cafe (10 Choa Chu Kang Avenue 4),,1.38567272095725,103.74413911363
1330,2020-07-24,1930h - 2200h,Northpoint City (930 Yishun Avenue 2),Din Tai Fung,1.42924414326245,103.836107231373
1331,2020-07-23,1730h - 2030h,Ramada By Wyndham Singapore At Zhongshan Park (16 Ah Hood Road),,1.32708485462602,103.846476460209
1332,2020-07-22,1430h - 1540h,Hillion Mall (17 Petir Road),"Mcdonald’S, Fairprice",1.37843100827586,103.762842789877
1333,2020-07-22,1145h - 1220h,Hillion Mall (17 Petir Road),Watsons,1.37843100827586,103.762842789877
1334,2020-07-21,1730h - 2030h,Ramada By Wyndham Singapore At Zhongshan Park (16 Ah Hood Road),,1.32708485462602,103.846476460209
1335,2020-07-21,1510h - 1610h,Funan Mall (107 North Bridge Road),,1.29134759697794,103.849989790085
1336,2020-07-21,1500h - 1550h,Raffles City Shopping Centre (252 North Bridge Road),Raffles City Market Place,1.29376028134073,103.852768324281
1337,2020-07-20,1830h - 1910h,Tekka Centre (665 Buffalo Road),,1.30617705352996,103.850611312978
1338,2020-07-20,1130h - 1230h,Changi Village Hawker Centre (2 Changi Village Road),,1.3891516485857,103.988245247726
1339,2020-07-20,1200h - 1300h,B&S Mini Mart Pte Ltd (310 Geylang Road),,1.31245131450842,103.879622127227
1340,2020-07-20,1720h - 2005h,Ramada By Wyndham Singapore At Zhongshan Park (16 Ah Hood Road),,1.32708485462602,103.846476460209
1341,2020-07-19,0945h - 1130h,Orchardgateway (277 Orchard Road),Chimpchamp Fitness,1.30040317266733,103.83972034182
1342,2020-07-19,1230h - 1530h,Kallang Wave Mall (1 Stadium Place),Yunomori Onsen & Spa,1.30307515150401,103.873149707591
1343,2020-07-18,1900h - 2015h,Safra Yishun (60 Yishun Avenue 4),Pin Si Restaurant,1.42429829576671,103.840902278162
1344,2020-07-17,1540h - 1710h,Joo Chiat Complex (1 Joo Chiat Road),,1.31587653400999,103.898378099316
1345,2020-07-17,2140h - 0000h,Filmgarde Bugis+ (201 Victoria Street),Hall 6,1.2995619856076,103.854240170015
1346,2020-07-17,1700h - 1830h,"Activesg Gym At Fernvale Square (51A Sengkang West
Avenue)",,1.391422038829,103.873115600394
1347,2020-07-17,1930h - 2115h,Lecoq (25 Church Street),,1.28386126899928,103.848483585631
1348,2020-07-17,0950h - 1020h,Pasir Ris West Plaza (735 Pasir Ris Street 72),Kopitiam,1.37930651921164,103.93627211062
1349,2020-07-17,0955h - 1025h,Changi Village Hawker Centre (2 Changi Village Road),,1.3891516485857,103.988245247726
1350,2020-07-16,1700h - 1830h,"Activesg Gym At Fernvale Square (51A Sengkang West
Ave)",,1.391422038829,103.873115600394
1351,2020-07-16,2245h - 0030h,313 Kpt Pte Ltd (313A Sembawang Drive),,1.44410704772453,103.821277851245
1352,2020-07-15,1400h - 1530h,Seah Im Food Centre (2 Seah Im Road),,1.26656813225079,103.819248035765
1353,2020-07-15,2230h - 0000h,Thasevi Food (239 Jalan Kayu),,1.39625381336363,103.872831944611
1354,2020-07-15,1610h - 1850h,Vivocity (1 Harbourfront Walk),"Golden Village Vivocity, Soup Restaurant",1.26431382492761,103.82207343835
1355,2020-07-15,1200h - 1240h,Lot One Shoppers’ Mall (21 Choa Chu Kang Avenue 4),Mcdonald’S,1.38506836476439,103.744950378814
1356,2020-07-14,1330h - 1400h,Market Street Interim Hawker Centre (5 Cross Street),,1.28159602980757,103.848878196508
1357,2020-07-14,1945h - 2020h,Sembawang Community Club (2125 Sembawang Road),,1.45165195153032,103.82846410211
1358,2020-07-14,1330h - 1400h,Fairprice Jurong Gateway Road (135 Jurong Gateway Road),,1.33382294191646,103.739755036969
1359,2020-07-14,1520h - 1930h,Waterway Point (83 Punggol Central),,1.40638890775119,103.902150850842
1360,2020-07-14,2105h - 2225h,"Activesg Gym At Fernvale Square (51A Sengkang West
Avenue)",,1.391422038829,103.873115600394
1361,2020-07-14,1140h - 1220h,Sheng Siong Supermarket (7 Jurong West Avenue 5),,1.34878489718303,103.703415655017
1362,2020-07-14,1000h - 1200h,Westgate (3 Gateway Drive),Food Republic@Westgate,1.33402529563803,103.74258601168
1363,2020-07-14,1005h - 1120h,Icbc Jurong East Sub-Branch (130 Jurong Gateway Road),,1.293261716615,103.766675957127
1364,2020-07-14,1935h - 2005h,Westgate (3 Gateway Drive),Tokyu Hands Jurong East,1.33402529563803,103.74258601168
1365,2020-07-14,1000h - 1040h,Albert Centre (270 Queen Street),,1.30110201573423,103.854115779087
1366,2020-07-14,1930h - 2130h,Food Park – Lor Lew Lian (2 Lorong Lew Lian),,1.35060795612848,103.875680063863
1367,2020-07-14,1600h - 1930h,Jem (50 Jurong Gateway Road),"Starbucks, Marché Mövenpick",1.33332819303974,103.743359442234
1368,2020-07-14,1600h - 1655h,"Vivocity (1 Harbourfront Walk)
Fairprice Xtra",,1.26431382492761,103.82207343835
1369,2020-07-13,1935h - 2040h,Fairprice Joo Chiat Complex (2 Joo Chiat Road),,1.31553964446015,103.898764895693
1370,2020-07-13,1740h - 1825h,Tiong Bahru Plaza (298 Tiong Bahru Road),Mcdonald’S,1.28629937187776,103.828093503404
1371,2020-07-13,1230h - 1300h,The Metropolis (9 North Buona Vista Drive),Saladstop!,1.30624556811811,103.791237458059
1372,2020-07-12,2010h - 2140h,Suntec City (3 Temasek Boulevard),Din Tai Fung,1.29485990186642,103.860333693777
1373,2020-07-12,1830h - 1930h,Resorts World Sentosa Casino (8 Sentosa Gateway),,1.25498909397858,103.82028484165
1374,2020-07-12,1915h - 2055h,Golden Mile Complex (5001 Beach Road),Diandin Leluk Thai Restaurant,1.3027512163519,103.865163649543
1375,2020-07-12,1120h - 1220h,Bukit Panjang Plaza (1 Jelebu Road),Streats,1.37989494369864,103.764459887796
1376,2020-07-12,1300h - 1700h,Bar Bar Black Sheep (86 Robertson Quay),,1.29026307473852,103.837158903917
1377,2020-07-11,1310h - 1340h,Bugis+ (201 Victoria Street),,1.2995619856076,103.854240170015
1378,2020-07-11,1000h - 1100h,Singpost Centre (10 Eunos Road 8),Bon Aesthetics,1.31893132637472,103.894482925602
1379,2020-07-11,1625h - 1700h,West Mall (1 Bukit Batok Central Link),,1.35009714832628,103.74921385957
1380,2020-07-11,0645h - 0715h,Sheng Siong Supermarket (154A Bukit Batok West Avenue 8),,1.34737180152613,103.743698106143
1381,2020-07-10,1200h - 1230h,Block 16 Bedok South Market & Food Centre (16 Bedok South Road),,1.32050083785242,103.935473637292
1382,2020-07-10,2115h - 2200h,Spize Bedok (336 Bedok Road),,1.33126391405609,103.948000657967
1383,2020-07-10,1550h - 1620h,Apple Orchard Road (270 Orchard Road),,1.30310526043246,103.836202006497
1384,2020-07-10,1945h - 2040h,Mustafa Centre (145 Syed Alwi Road),,1.31053493112425,103.855002052529
1385,2020-07-10,1255h - 1400h,Northpoint City (930 Yishun Avenue 2),O’Coffee Club Xpress,1.42924414326245,103.836107231373
1386,2020-07-10,1250h - 1330h,Taman Jurong Shopping Centre (399 Yung Sheng Road),,1.3350420286067,103.72026802061
1387,2020-07-10,1810h - 1850h,"Century Square (2 Tampines Central 5)
Nakhon Kitchen",,1.35229139706407,103.943849611798
1388,2020-07-10,1250h - 1330h,Hao Mart (505 Canberra Link),,1.45026201889682,103.822534715231
1389,2020-07-10,0620h - 0650h,Sheng Siong Supermarket (154A Bukit Batok West Avenue 8),,1.34737180152613,103.743698106143
1390,2020-07-10,1200h - 1500h,The Panggung@Aroma Kampung Restaurant (2 Joo Chiat Complex),,1.31552186827088,103.899054057958
1391,2020-07-09,1630h - 1730h,Relax & Comfort Reflexology Therapy (92 Lorong 4 Toa Payoh),,1.33807081646129,103.849457178811
1392,2020-07-09,1125h - 1200h,Tang Plaza (310 Orchard Road),Tangs,1.30505783063001,103.83306065595
1393,2020-07-09,1930h - 2150h,Northpoint City (930 Yishun Avenue 2),Malaysia Chiak!,1.42924414326245,103.836107231373
1394,2020-07-09,1500h - 1910h,Imm (2 Jurong East Street 21),Adidas Outlet,1.3346666186285,103.74695659203
1395,2020-07-09,1600h - 1630h,Alsalam Restaurant (427 East Coast Road),,1.30910011360694,103.91188485858
1396,2020-07-07,1725h - 1800h,Kallang Wave Mall (1 Stadium Place),My Kampung,1.30307515150401,103.873149707591
1397,2020-07-07,1120h - 1200h,Old Airport Road Food Centre & Shopping Mall (51 Old Airport Road),,1.3082518471287,103.88580870609
1398,2020-07-06,1230h - 1300h,Kallang Wave Mall (1 Stadium Place),My Kampung,1.30307515150401,103.873149707591
1399,2020-07-06,1725h - 1800h,Kallang Wave Mall (1 Stadium Place),My Kampung,1.30307515150401,103.873149707591
