Date,Time,Location,Sub-location,Source,Notes
2021-06-17,1255h - 1325h,Tiong Bahru Plaza (298 Tiong Bahru Road),Khai Yong Heng Goldsmith,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-17,2000h - 2100h,Market Square @ Downtown East (1 Pasir Ris Close),,https://mothership.sg/2021/06/covid-19-june-20-locations-update/,Added/ Updated on 2021-06-21
2021-06-17,1250h - 1430h,Tiong Bahru Plaza (298 Tiong Bahru Road),Khai Yong Heng Goldsmith,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-17,1535h - 1710h,Hairpost Beauty Salon (162 Bukit Merah Central),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-16,1020h - 1900h,Katong Shopping Centre (865 Mountbatten Road),Central Recruitment Solutions Pte Ltd,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-16,0940h - 1010h,Geylang Bahru Market And Food Centre (69 Geylang  Bahru),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-16,1810h - 1900h,Tiong Bahru Plaza (298 Tiong Bahru Road),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-16,1430h - 1500h,Redhill Market (79 Redhill Lane),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-16,1740h - 1955h,*Scape (2 Orchard Link),Equilibrium Mixed Martial Arts,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-15,2000h - 2035h,Joo Chiat Complex (1 Joo Chiat Road),Al Barakah,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-15,1605h - 1645h,Public Free Clinic Society (245 Tampines Street 21),,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-15,1850h - 2130h,Palelai Buddhist Temple (49 Bedok Walk),,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-15,0710h - 0740h,112 Jalan Bukit Merah Market And Food Centre,,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/press-releases/annexes---27-june-2021.pdf?sfvrsn=2b2a0ae6_2,Added/Updated on 2021-06-28
2021-06-15,1555h - 1630h,Dawson Place (57 Dawson Road),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-15,1650h - 1800h,Waterway Point (83 Punggol Central),,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-15,0100h - 0130h,Sheng Siong Supermarket (108 Mcnair Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-14,1955h - 2030h,Ntuc Fairprice (166 Bukit Merah Central),,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-14,0630h - 1600h,Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-14,1010h - 1400h,Katong Shopping Centre (865 Mountbatten Road),Union United Employment Pte Ltd,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-14,1755h - 1925h,City Square Mall (180 Kitchener Road),,https://www.moh.gov.sg/docs/librariesprovider5/default-document-library/annexesa25fa689b5a8454fae0f5c8d795cca2f.pdf?sfvrsn=4bf7e3e9_0,Added/Updated on 2021-06-25
2021-06-14,1600h - 1700h,Courts Megastore (50 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-14,1430h - 1500h,Redhill Market (79 Redhill Lane),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-singapore-death-community-unlinked-jun-21-15058300,Added/ Updated on 2021-06-22
2021-06-14,1130h - 1205h,Teoh Hock Seng (129 Kim Tian Road),,https://www.todayonline.com/singapore/night-safari-chinatown-complex-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-17
2021-06-14,0745h - 0820h,Eastpoint Mall (3 Simei Street 6),Ntuc Fairprice,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-14,1200h - 2100h,Bake King (10 Haig Road),,https://www.todayonline.com/singapore/senior-activity-centre-bukit-merah-view-baking-supply-store-geylang-among-places-visited,Added/ Updated on 2021-06-19
2021-06-14,1655h - 1830h,Ikea Tampines (60 Tampines North Drive 2),,https://www.moh.gov.sg/docs/librariesprovider5/pressroom/annexes-25-jun.pdf?sfvrsn=b0c3657d_2,Added/Updated on 2021-06-26
2021-06-14,0500h - 1620h,Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-moh-jun-17-community-bukit-merah-view-cluster-15031438,"Added/ Updated on 2021-06-18, Modified on 2021-06-21"
2021-06-14,1940h - 2040h,Jurong Point (1 Jurong West Central 2),,https://mothership.sg/2021/06/redhill-market-tiong-bahru-plaza-infectious-covid-19-cases/,Added/ Updated on 2021-06-23
2021-06-13,1315h - 1405h,The Clementi Mall (3155 Commonwealth Avenue West),Clementi Public Library,https://www.todayonline.com/singapore/clementi-mall-supermarkets-bukit-merah-and-tanglin-halt-among-places-visited-covid-19,Added/ Updated on 2021-06-16
2021-06-13,2000h - 2030h,Vivocity (1 Harbourfront Walk),,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-13,1530h - 1630h,Katong V Mall (30 East Coast Road),Ntuc Fairprice,https://www.todayonline.com/singapore/night-safari-chinatown-complex-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-17
2021-06-13,1320h - 1430h,Vivocity (1 Harbourfront Walk),"Toys ""R"" Us",https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-13,1150h - 1220h,Giant Express (86 Redhill Close),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-moh-jun-17-community-bukit-merah-view-cluster-15031438,Added/ Updated on 2021-06-18
2021-06-13,1535h - 1635h,Katong V Mall (30 East Coast Road),Fairprice Finest,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-13,1415h - 1505h,Joo Chiat Complex (1 Joo Chiat Road),,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-13,1110h - 1315h,Junction 10 (1 Woodlands Road),Sheng Shiong Supermarket,https://www.todayonline.com/singapore/night-safari-chinatown-complex-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-17
2021-06-13,1500h - 1530h,115 Bukit Merah View Market & Hawker Centre (115 Bukit Merah View),,https://www.todayonline.com/singapore/night-safari-chinatown-complex-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-17
2021-06-13,0800h - 0835h,Ntuc Fairprice (50 Havelock Road),,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-13,1310h - 1520h,Vivocity (1 Harbourfront Walk),"Toys ""R"" Us",https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-moh-jun-17-community-bukit-merah-view-cluster-15031438,Added/ Updated on 2021-06-18
2021-06-13,0630h - 1700h,Tiong Bahru Yong Tau Hu (56 Eng Hoon Street),,https://www.channelnewsasia.com/news/singapore/covid-19-new-cases-moh-jun-17-community-bukit-merah-view-cluster-15031438,"Added/ Updated on 2021-06-18, Modified on 2021-06-21"
2021-06-13,1000h - 1535h,Katong Shopping Centre (865 Mountbatten Road),Union United Employment Pte Ltd,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-13,1635h - 2000h,Katong Shopping Centre (865 Mountbatten Road),Union United Employment Pte Ltd,https://www.todayonline.com/singapore/maid-agency-katong-shopping-centre-and-church-geylang-among-places-visited-covid-19-0,Added/ Updated on 2021-06-20
2021-06-13,1200h - 1530h,Katong Shopping Centre (865 Mountbatten Road),,https://www.todayonline.com/singapore/northpoint-city-waterway-point-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-24
2021-06-13,1200h - 1540h,Katong Shopping Centre (865 Mountbatten Road),,https://www.todayonline.com/singapore/night-safari-chinatown-complex-among-places-visited-covid-19-cases-while-infectious,Added/ Updated on 2021-06-17
